Mass (kg),TAS (kts),CL,CD
19500,330,0.2820023334004944,0.02110148732568962
19500,340,0.26565790750271484,0.020752390828930118
19500,350,0.2506943192433783,0.020451058026335133
19500,360,0.23696029403791552,0.020189857057070878
19500,370,0.22432471955671182,0.019962541612363698
19500,380,0.21267350489829534,0.019763970767743284
19500,390,0.2019069961033126,0.019589890967943058
19500,400,0.19193783817071153,0.019436765215144203
19500,410,0.18268919754499605,0.01930163837308575
19500,420,0.17409327725234602,0.019182030298194024
20000,330,0.28923316246204556,0.021262577068444043
20000,340,0.2724696487207332,0.02089534866948599
20000,350,0.2571223787111573,0.020578364787729266
20000,360,0.2430361990132467,0.02030359716720145
20000,370,0.23007663544278137,0.02006447506889015
20000,380,0.21812667169055933,0.01985559055120924
20000,390,0.20708409856750012,0.019672469131301048
20000,400,0.1968593212007298,0.01951139010140087
20000,410,0.18737353594358572,0.019369244836908085
20000,420,0.17855720743830364,0.01924342437679845
20500,330,0.29646399152359665,0.021427745032534022
20500,340,0.2792813899387515,0.021041925695878715
20500,350,0.2635504381789362,0.02070889450510806
20500,360,0.24911210398857783,0.020420216773791022
20500,370,0.23582855132885086,0.02016898911925271
20500,380,0.22357983848282328,0.019949529822864208
20500,390,0.2122612010316876,0.019757137881073163
20500,400,0.201780804230748,0.019587904225284287
20500,410,0.19205787434217533,0.019438562856776555
20500,420,0.1830211376242612,0.01930637273587387
21000,330,0.30369482058514785,0.02159699121795956
21000,340,0.2860931311567699,0.021192121908108305
21000,350,0.2699784976467151,0.020842647178471514
21000,360,0.25518800896390903,0.020539715876839598
21000,370,0.2415804672149204,0.02027608376345139
21000,380,0.2290330052750873,0.020045788582708186
21000,390,0.21743830349587512,0.019843897217259408
21000,400,0.20670228726076628,0.01966630758679446
21000,410,0.196742212740765,0.019509592432691163
21000,420,0.18748506781021881,0.01937087537542029
21500,330,0.31092564964669894,0.02177031562472065
21500,340,0.2929048723747882,0.021345937306174748
21500,350,0.276406557114494,0.020979622807819634
21500,360,0.26126391393924014,0.020662094476347176
21500,370,0.24733238310098993,0.02038575900148618
21500,380,0.23448617206735126,0.020144366830741178
21500,390,0.2226154059600626,0.019932747139859774
21500,400,0.2116237702907845,0.01974660018593138
21500,410,0.20142655113935462,0.019582333564651905
21500,420,0.19194899799617637,0.019436932295437706
22000,330,0.3181564787082501,0.021947718252817293
22000,340,0.2997166135928065,0.021503371890078046
22000,350,0.282834616582273,0.02111982139315241
22000,360,0.26733981891457137,0.020787352572313754
22000,370,0.2530842989870595,0.02049801483335708
22000,380,0.23993933885961524,0.02024526456696318
22000,390,0.2277925084242501,0.02002368764887427
22000,400,0.21654525332080277,0.019828782022695054
22000,410,0.20611088953794426,0.019656786252658782
22000,420,0.196412928182134,0.019504543495926122
22500,330,0.32538730776980124,0.022129199102249492
22500,340,0.30652835481082485,0.021664425659818205
22500,350,0.28926267605005196,0.021263242934469854
22500,360,0.27341572388990254,0.020915490164739335
22500,370,0.258836214873129,0.020612851259064095
22500,380,0.24539250565187926,0.020348481791374193
22500,390,0.23296961088843762,0.02011671874430289
22500,400,0.221466736350821,0.019912853097085476
22500,410,0.21079522793653394,0.019732950496711796
22500,420,0.20087685836809158,0.019573708976885536
23000,330,0.3326181368313524,0.02231475817301725
23000,340,0.31334009602884316,0.02182909861539522
23000,350,0.29569073551783087,0.021409887431771954
23000,360,0.27949162886523365,0.021046507253623916
23000,370,0.26458813075919857,0.020730268278607224
23000,380,0.2508456724441432,0.02045401850397422
23000,390,0.2381467133526251,0.020211840426145638
23000,400,0.22638821938083925,0.019998813409102652
23000,410,0.21547956633512355,0.01981082629681094
23000,420,0.20534078855404916,0.01964442873831595
23500,330,0.33984896589290353,0.02250439546512056
23500,340,0.3201518372468615,0.021997390756809093
23500,350,0.3021187949856098,0.021559754885058718
23500,360,0.2855675338405649,0.021180403838967504
23500,370,0.2703400466452681,0.020850265891986464
23500,380,0.2562988392364072,0.02056187470476326
23500,390,0.24332381581681264,0.020309052694402512
23500,400,0.2313097024108575,0.020086662958746577
23500,410,0.2201639047337132,0.019890413652956226
23500,420,0.20980471874000675,0.01971670278021736
24000,330,0.3470797949544546,0.02269811097855942
24000,340,0.32696357846487983,0.022169302084059823
24000,350,0.3085468544533887,0.021712845294330145
24000,360,0.291643438815896,0.021317179920770087
24000,370,0.2760919625313376,0.020972844099201814
24000,380,0.26175200602867116,0.020672050393741304
24000,390,0.24850091828100013,0.020408355549073512
24000,400,0.2362311854408757,0.020176401746017255
24000,410,0.22484824313230284,0.019971712565147643
24000,420,0.21426864892596434,0.019790531102589767
24500,330,0.35431062401600577,0.022895904713333845
24500,340,0.33377531968289814,0.02234483259714741
24500,350,0.31497491392116767,0.021869158659586233
24500,360,0.29771934379122716,0.021456835499031678
24500,370,0.28184387841740716,0.02109800290025328
24500,380,0.26720517282093514,0.020784545570908364
24500,390,0.25367802074518764,0.020509748990158637
24500,400,0.24115266847089398,0.020268029770914683
24500,410,0.22953258153089248,0.020054723033385194
24500,420,0.21873257911192193,0.019865913705433173
25000,330,0.3615414530775569,0.02309777666944382
25000,340,0.3405870609009165,0.02252398229607186
25000,350,0.3214029733889466,0.02202869498082698
25000,360,0.3037952487665584,0.021599370573752268
25000,370,0.2875957943034767,0.02122574229514086
25000,380,0.2726583396131992,0.020899360236264437
25000,390,0.25885512320937515,0.02061323301765789
25000,400,0.24607415150091225,0.02036154703343886
25000,410,0.23421691992948215,0.020139445057668882
25000,420,0.22319650929787954,0.019942850588747577
25500,330,0.36877228213910807,0.023303726846889347
25500,340,0.3473988021189348,0.02270675118083316
25500,350,0.3278310328567255,0.022191454258052388
25500,360,0.3098711537418895,0.021744785144931857
25500,370,0.2933477101895462,0.02135606228386455
25500,380,0.2781115064054631,0.02101649438980952
25500,390,0.2640322256735626,0.020718807631571266
25500,400,0.25099563453093043,0.02045695353358979
25500,410,0.23890125832807177,0.020225878637998705
25500,420,0.2276604394838371,0.02002134175253298
26000,330,0.3760031112006592,0.023513755245670436
26000,340,0.3542105433369532,0.022893139251431324
26000,350,0.33425909232450446,0.022357436491262463
26000,360,0.3159470587172207,0.02189307921257045
26000,370,0.29909962607561574,0.021488962866424353
26000,380,0.2835646731977271,0.021135948031543617
26000,390,0.26920932813775017,0.020826472831898774
26000,400,0.2559171175609487,0.020554249271367474
26000,410,0.2435855967266614,0.020314023774374662
26000,420,0.23212436966979472,0.02010138719678938
26500,330,0.3832339402622103,0.023727861865787073
26500,340,0.36102228455497143,0.023083146507866338
26500,350,0.34068715179228337,0.022526641680457194
26500,360,0.32202296369255184,0.022044252776668046
26500,370,0.3048515419616853,0.021624444042820268
26500,380,0.2890178399899911,0.021257721161466722
26500,390,0.2743864306019376,0.020936228618640404
26500,400,0.2608386005909669,0.020653434246771903
26500,410,0.24826993512525106,0.020403880466796757
26500,420,0.23658829985575228,0.020182986921516776
27000,330,0.3904647693237615,0.023946046707239273
27000,340,0.3678340257729898,0.023276772950138216
27000,350,0.3471152112600623,0.02269906982563659
27000,360,0.328098868667883,0.022198305837224645
27000,370,0.31060345784775484,0.021762505813052297
27000,380,0.2944710067822551,0.02138181377957884
27000,390,0.27956353306612514,0.021048074991796163
27000,400,0.2657600836209852,0.020754508459803086
27000,410,0.2529542735238407,0.020495448715264986
27000,420,0.2410522300417099,0.020266140926715175
27500,330,0.39769559838531265,0.024168309770027024
27500,340,0.37464576699100816,0.02347401857824695
27500,350,0.35354327072784125,0.022874720926800644
27500,360,0.3341747736432142,0.022355238394240244
27500,370,0.3163553737338244,0.02190314817712044
27500,380,0.29992417357451906,0.02150822588587997
27500,390,0.28474063553031265,0.021162011951366046
27500,400,0.27068156665100346,0.02085747191046102
27500,410,0.25763861192243037,0.02058872851977935
27500,420,0.24551616022766748,0.02035084921238457
28000,330,0.4049264274468638,0.02439465105415033
28000,340,0.3814575082090265,0.02367488339219254
28000,350,0.3599713301956202,0.023053594983949363
28000,360,0.34025067861854535,0.022515050447714843
28000,370,0.32210728961989393,0.022046371135024695
28000,380,0.3053773403667831,0.021636957480370114
28000,390,0.28991773799450016,0.021278039497350056
28000,400,0.27560304968102173,0.020962324598745707
28000,410,0.26232295032102,0.020683719880339846
28000,420,0.2499800904136251,0.02043711177852496
28500,330,0.4121572565084149,0.024625070559609188
28500,340,0.38826924942704477,0.023879367391974986
28500,350,0.3663993896633991,0.023235691997082742
28500,360,0.34632658359387647,0.022677741997648444
28500,370,0.3278592055059634,0.02219217468676506
28500,380,0.31083050715904703,0.021768008563049265
28500,390,0.2950948404586876,0.021396157629748194
28500,400,0.2805245327110399,0.02106906652465714
28500,410,0.2670072887196096,0.02078042279694648
28500,420,0.25444402059958265,0.02052492862513635
29000,330,0.41938808556996604,0.024859568286403604
29000,340,0.3950809906450631,0.02408747057759429
29000,350,0.37282744913117805,0.023421011966200785
29000,360,0.3524024885692077,0.02284331304404105
29000,370,0.33361112139203297,0.02234055883234154
29000,380,0.316283673951311,0.021901379133917428
29000,390,0.3002719429228751,0.021516366348560453
29000,400,0.28544601574105816,0.02117769768819533
29000,410,0.2716916271181993,0.02087883726959925
29000,420,0.25890795078554024,0.02061429975221874
29500,330,0.4266189146315172,0.025098144234533576
29500,340,0.40189273186308144,0.024299192949050454
29500,350,0.37925550859895696,0.023609554891303487
29500,360,0.35847839354453886,0.023011763586892657
29500,370,0.3393630372781025,0.022491523571754133
29500,380,0.321736840743575,0.022037069192974604
29500,390,0.30544904538706263,0.021638665653786845
29500,400,0.2903674987710764,0.02128821808936027
29500,410,0.2763759655167889,0.020978963298298153
29500,420,0.26337188097149783,0.020705225159772127
30000,330,0.43384974369306833,0.025340798403999103
30000,340,0.4087044730810998,0.02451453450634348
30000,350,0.3856835680667359,0.02380132077239085
30000,360,0.36455429851987003,0.023183093626203265
30000,370,0.34511495316417207,0.022645068905002837
30000,380,0.327190007535839,0.022175078740220792
30000,390,0.3106261478512502,0.021763055545427363
30000,400,0.2952889818010947,0.02140062772815196
30000,410,0.28106030391537856,0.02108080088304319
30000,420,0.2678358111574554,0.02079770484779651
30500,330,0.4410805727546194,0.02558753079480018
30500,340,0.41551621429911806,0.024733495249473353
30500,350,0.3921116275345148,0.023996309609462876
30500,360,0.37063020349520115,0.023357303161972872
30500,370,0.3508668690502415,0.022801194832087653
30500,380,0.3326431743281029,0.02231540777565599
30500,390,0.31580325031543766,0.021889536023482002
30500,400,0.30021046483111286,0.0215149266045704
30500,410,0.2857446423139682,0.021184350023834366
30500,420,0.272299741343413,0.020891738816291895
31000,330,0.4483114018161706,0.02583834140693682
31000,340,0.4223279555171364,0.02495607517844009
31000,350,0.39853968700229375,0.024194521402519563
31000,360,0.3767061084705323,0.023534392194201486
31000,370,0.35661878493631105,0.022959901353008582
31000,380,0.3380963411203669,0.0224580562992802
31000,390,0.32098035277962517,0.02201810708795077
31000,400,0.3051319478611311,0.021631114718615594
31000,410,0.29042898071255785,0.021289610720671676
31000,420,0.2767636715293706,0.020987327065258275
31500,330,0.4555422308777217,0.026093230240409007
31500,340,0.42913969673515473,0.02518227429324368
31500,350,0.40496774647007266,0.024395956151560913
31500,360,0.3827820134458635,0.0237143607228891
31500,370,0.3623707008223806,0.023121188467765626
31500,380,0.3435495079126309,0.02260302431109342
31500,390,0.3261574552438127,0.022148768738833667
31500,400,0.3100534308911494,0.021749192070287537
31500,410,0.29511331911114747,0.02139658297355512
31500,420,0.2812276017153282,0.021084469594695655
32000,330,0.46277305993927287,0.026352197295216755
32000,340,0.4359514379531731,0.025412092593884134
32000,350,0.41139580593785163,0.024600613856586923
32000,360,0.3888579184211947,0.023897208748035716
32000,370,0.36812261670845015,0.02328505617635878
32000,380,0.34900267470489493,0.022750311811095658
32000,390,0.3313345577080002,0.022281520976130686
32000,400,0.31497491392116767,0.021869158659586233
32000,410,0.29979765750973714,0.0215052667824847
32000,420,0.28569153190128577,0.02118316640460403
32500,330,0.470003889000824,0.026615242571360054
32500,340,0.44276317917119146,0.02564553008036144
32500,350,0.4178238654056306,0.024808494517597597
32500,360,0.3949338233965259,0.024082936269641333
32500,370,0.3738745325945197,0.02345150447878805
32500,380,0.3544558414971589,0.022899918799286902
32500,390,0.3365116601721877,0.022416363799841833
32500,400,0.3198963969511859,0.021991014486511674
32500,410,0.3044819959083268,0.021615662147460413
32500,420,0.2901554620872434,0.021283417494983407
33000,330,0.4772347180623751,0.02688236606883891
33000,340,0.4495749203892097,0.025882586752675605
33000,350,0.42425192487340946,0.025019598134592928
33000,360,0.401009728371857,0.02427154328770595
33000,370,0.3796264484805892,0.023620533375053432
33000,380,0.35990900828942285,0.023051845275667157
33000,390,0.34168876263637515,0.022553297209967106
33000,400,0.3248178799812041,0.022114759551063873
33000,410,0.30916633430691637,0.021727769068482262
33000,420,0.29461939227320094,0.02138522286583378
33500,330,0.48446554712392625,0.02715356778765332
33500,340,0.4563866616072281,0.026123262610826627
33500,350,0.43067998434118837,0.02523392470757292
33500,360,0.40708563334718817,0.02446302980222957
33500,370,0.38537836436665873,0.023792142865154926
33500,380,0.36536217508168684,0.023206091240236426
33500,390,0.34686586510056266,0.022692321206506508
33500,400,0.32973936301122236,0.02224039385324282
33500,410,0.31385067270550604,0.021841587545550246
33500,420,0.29908332245915853,0.02148858251715515
34000,330,0.4916963761854774,0.02742884772780329
34000,340,0.4631984028252464,0.026367557654814508
34000,350,0.43710804380896734,0.025451474236537583
34000,360,0.41316153832251934,0.02465739581321219
34000,370,0.3911302802527283,0.023966332949092534
34000,380,0.3708153418739508,0.023362656692994706
34000,390,0.3520429675647502,0.02283343578946003
34000,400,0.33466084604124063,0.02236791739304852
34000,410,0.3185350111040957,0.021957117578664368
34000,420,0.3035472526451161,0.02159349644894752
34500,330,0.49892720524702855,0.02770820588928881
34500,340,0.47001014404326474,0.026615471884639245
34500,350,0.4435361032767463,0.0256722467214869
34500,360,0.4192374432978505,0.024854641320653816
34500,370,0.3968821961387978,0.024143103626866252
34500,380,0.3762685086662148,0.023521541633941996
34500,390,0.3572200700289377,0.022976640958827683
34500,400,0.33958232907125885,0.022497330170480966
34500,410,0.3232193495026853,0.02207435916782462
34500,420,0.30801118283107376,0.021699964661210887
35000,330,0.5061580343085798,0.027991642272109887
35000,340,0.4768218852612831,0.026867005300300843
35000,350,0.4499641627445252,0.025896242162420882
35000,360,0.42531334827318173,0.025054766324554445
35000,370,0.4026341120248674,0.024322454898476082
35000,380,0.38172167545847885,0.0236827460630783
35000,390,0.3623971724931252,0.023121936714609465
35000,400,0.3445038121012771,0.02262863218554017
35000,410,0.327903687901275,0.02219331231303101
35000,420,0.31247511301703135,0.021807987153945253
35500,330,0.5133888633701308,0.028279156876266517
35500,340,0.48363362647930136,0.027122157901799296
35500,350,0.4563922222123041,0.02612346055933952
35500,360,0.4313892532485128,0.02525777082491407
35500,370,0.40838602791093687,0.024504386763922026
35500,380,0.3871748422507428,0.023846269980403612
35500,390,0.36757427495731265,0.023269323056805367
35500,400,0.34942529513129533,0.02276182343822612
35500,410,0.3325880262998646,0.02231397701428354
35500,420,0.3169390432029889,0.021917563927150614
36000,330,0.5206196924316819,0.028570749701758706
36000,340,0.4904453676973197,0.027380929689134605
36000,350,0.46282028168008305,0.026353901912242822
36000,360,0.437465158223844,0.0254636548217327
36000,370,0.4141379437970064,0.024688899223204084
36000,380,0.39262800904300676,0.024012113385917938
36000,390,0.37275137742150016,0.0234187999854154
36000,400,0.3543467781613136,0.022896903928538822
36000,410,0.33727236469845423,0.022436353271582197
36000,420,0.3214029733889465,0.022028694980826977
36500,330,0.5278505214932331,0.028866420748586447
36500,340,0.49725710891533803,0.02764332066230677
36500,350,0.469248341147862,0.026587566221130787
36500,360,0.4435410631991752,0.025672418315010333
36500,370,0.41988985968307596,0.024875992276322253
36500,380,0.39808117583527075,0.024180276279621278
36500,390,0.3779284798856877,0.023570367500439556
36500,400,0.3592682611913318,0.023033873656478278
36500,410,0.3419567030970439,0.022560441084926993
36500,420,0.3258669035749041,0.022141380314974337
37000,330,0.5350813505547842,0.029166170016749742
37000,340,0.5040688501333564,0.027909330821315803
37000,350,0.4756764006156409,0.026824453486003416
37000,360,0.44961696817450636,0.025884061304746967
37000,370,0.4256417755691455,0.025065665923276536
37000,380,0.40353434262753474,0.024350758661513625
37000,390,0.3831055823498752,0.023724025601877842
37000,400,0.3641897442213501,0.02317273262204448
37000,410,0.3466410414956336,0.022686240454317923
37000,420,0.3303308337608617,0.022255619929592695
37500,330,0.5423121796163354,0.029469997506248593
37500,340,0.5108805913513748,0.028178960166161685
37500,350,0.4821044600834199,0.027064563706860705
37500,360,0.45569287314983753,0.0260985837909426
37500,370,0.43139369145521506,0.025257920164066933
37500,380,0.4089875094197987,0.024523560531594987
37500,390,0.3882826848140627,0.023879774289730253
37500,400,0.36911122725136836,0.02331348082523744
37500,410,0.3513253798942232,0.022813751379754988
37500,420,0.3347947639468193,0.02237141382468205
38000,330,0.5495430086778865,0.029777903217083
38000,340,0.5176923325693931,0.028452208696844422
38000,350,0.48853251955119875,0.02730789688370265
38000,360,0.46176877812516864,0.026315985773597235
38000,370,0.43714560734128455,0.02545275499869344
38000,380,0.41444067621206265,0.024698681889865355
38000,390,0.39345978727825015,0.024037613563996786
38000,400,0.37403271028138657,0.023456118266057147
38000,410,0.3560097182928128,0.02294297386123819
38000,420,0.3392586941327769,0.022488762000242406
38500,330,0.5567738377394377,0.030089887149252963
38500,340,0.5245040737874114,0.028729076413364023
38500,350,0.4949605790189777,0.027554453016529264
38500,360,0.4678446831004998,0.026536267252710875
38500,370,0.4428975232273541,0.02565017042715606
38500,380,0.4198938430043267,0.02487612273632474
38500,390,0.39863688974243766,0.024197543424677448
